new_key,old_key
battery_current_headline,battery_current
battery_health_cold,cold
battery_health_dead,dead
battery_health_good,good
battery_health_headline,health
battery_health_overheated,overheated
battery_health_overvoltage,overvoltage
battery_health_unspecified_failure,unspecified_failure
battery_level_headline,level
battery_page,battery_tab
battery_power_headline,battery_power
battery_power_not_charging,not_charging
battery_source_ac,battery_charger_ac
battery_source_headline,battery_source
battery_source_usb,battery_charger_usb
battery_source_wireless,battery_charger_wireless
battery_status_charging,charging
battery_status_discharging,discharging
battery_status_full,full
battery_status_headline,status
battery_status_not_charging,not_charging
battery_technology_headline,technology
battery_temperature_headline,temperature
battery_voltage_headline,battery_voltage
camera_accuracy_note,camera_accuracy_message
camera_available_apertures_headline,available_apertures
camera_eis_headline,electronic_image_stabilization
camera_flash_headline,flashlight
camera_lens_back,back_camera
camera_lens_external,external_camera
camera_lens_front,front_camera
camera_megapixels_headline,megapixels
camera_megapixels_value,mpx
camera_ois_headline,optical_image_stabilization
camera_page,camera_tab
connectivity_bluetooth_category,bluetooth
connectivity_bluetooth_connected_devices_headline,connected_devices
connectivity_bluetooth_low_energy_headline,bluetooth_low_energy
connectivity_bluetooth_mac_address_headline,mac_address
connectivity_bluetooth_name_headline,name
connectivity_bluetooth_permission_explainer,connectivity_bluetooth_permission_explanation
connectivity_bluetooth_status_disabled,disabled
connectivity_bluetooth_status_enabled,enabled
connectivity_bluetooth_status_headline,status
connectivity_bluetooth_status_turning_off,turning_off
connectivity_bluetooth_status_turning_on,turning_on
connectivity_bluetooth_turn_on_bluetooth,turn_on_bluetooth
connectivity_bluetooth_zero_device_connected,zero_device_connected
connectivity_page,connectivity_tab
device_brand_headline,brand
device_display_aspect_ratio_headline,aspect_ratio
device_display_default_orientation_headline,default_orientation
device_display_default_orientation_landscape,landscape
device_display_default_orientation_portrait,portrait
device_display_id_category,display_number
device_display_name_headline,name
device_display_pixel_density_headline,display_density
device_display_refresh_rate_headline,frame_rate
device_display_resolution_headline,resolution
device_display_size_headline,size
device_display_supports_hdr_headline,hdr
device_face_authentication_headline,face_authentication
device_features_category,features
device_file_based_encryption_headline,file_based_encryption
device_fingerprint_authentication_headline,fingerprint_authentication
device_manufacturer_headline,manufacturer
device_model_headline,model
device_page,device_tab
device_product_name_headline,product
device_vulkan_headline,vulkan
generic_allow,allow
generic_copied_to_clipboard,copied_to_clipboard
generic_detected,detected
generic_disabled,disabled
generic_enabled,enabled
generic_gb_per_second,gb_on_sec
generic_kb_per_second,kb_on_sec
generic_mb_per_second,mb_on_sec
generic_not_detected,not_detected
generic_not_supported,not_supported
generic_supported,supported
generic_tb_per_second,tb_on_sec
generic_unknown,unknown
hardware_cluster_category,cluster_number
hardware_cluster_governor_headline,governor
hardware_cluster_maximum_frequency_headline,maximum_frequency
hardware_cluster_minimum_frequency_headline,minimum_frequency
hardware_clusters_headline,clusters
hardware_core_frequency,value_frequency
hardware_core_headline,core_number
hardware_core_offline,offline
hardware_cores_headline,cores
hardware_cpu_hardware_headline,hardware
hardware_cpu_hardware_headline,hardware_tab
hardware_cpu_usage_category,cpu_usage
hardware_cpu_usage_headline,usage
hardware_gpu_current_frequency_headline,current_frequency
hardware_gpu_governor_headline,governor
hardware_gpu_maximum_frequency_headline,maximum_frequency
hardware_gpu_minimum_frequency_headline,minimum_frequency
hardware_gpu_renderer_headline,renderer
hardware_gpu_usage_headline,usage
hardware_gpu_vendor_headline,vendor
hardware_page,hardware
hardware_page,hardware_tab
hardware_supported_abis_headline,supported_abis
media_drm_algorithms_headline,algorithms
media_drm_device_unique_id_headline,device_unique_id
media_drm_page,media_drm
media_drm_security_level_headline,security_level
media_drm_vendor_headline,vendor
media_drm_version_headline,version
memory_page,memory_tab
memory_ram_available_headline,available
memory_ram_available_headline,module_manager_available_category
memory_ram_category,device_memory
memory_ram_hardware_headline,hardware
memory_ram_hardware_headline,hardware_tab
memory_ram_total_headline,total
memory_ram_usage_headline,usage
memory_ram_used_headline,used
memory_storage_available_headline,available
memory_storage_available_headline,module_manager_available_category
memory_storage_category,internal_storage
memory_storage_hardware_headline,hardware
memory_storage_hardware_headline,hardware_tab
memory_storage_tile_title,internal_storage
memory_storage_total_headline,total
memory_storage_usage_headline,usage
memory_storage_used_headline,used
network_dhcp_lease_time_headline,dhcp_lease_time
network_dns_headline,dns
network_download_speed_headline,download_speed
network_frequency_headline,frequency
network_gateway_headline,gateway
network_lease_time_more_than_a_week,lease_time_more_than_a_week
network_link_speed_headline,link_speed
network_local_ip_ipv4_headline,local_ip_ipv4
network_local_ip_ipv6_headline,local_ip_ipv6
network_location_permission_explainer,network_location_permission_explanation
network_mac_address_headline,mac_address
network_page,network_tab
network_signal_excellent,excellent
network_signal_fair,fair
network_signal_good,good
network_signal_strength_headline,signal_strength
network_signal_weak,weak
network_ssid_headline,ssid
network_ssid_hidden_value,hidden_ssid
network_subnet_mask_headline,subnet_mask
network_type_headline,network_type
network_upload_speed_headline,upload_speed
network_wifi_category,wifi
permission_required_heading,permission_required_title
settings_about_entry_headline,about
settings_about_licenses_headline,licenses
settings_about_privacy_policy_headline,privacy_policy
settings_about_thanks_to_category,thanks_to
settings_advanced_allow_analytics_description,settings_option_allow_analytics_description
settings_advanced_allow_analytics_headline,settings_option_allow_analytics
settings_advanced_analytics_category,settings_category_analytics
settings_advanced_developer_options_category,settings_category_developer_options
settings_advanced_entry_description,settings_category_advanced_description
settings_advanced_entry_headline,settings_category_advanced
settings_advanced_experimental_category,experimental_module_tag
settings_advanced_experimental_category,settings_category_experimental
settings_advanced_optional_modules_category,settings_category_optional_modules
settings_advanced_reset_analytics_headline,settings_button_reset_analytics
settings_advanced_reset_analytics_success,settings_analytics_successfully_reset
settings_appearance_dark_mode_follow_system,dark_mode_follow_system
settings_appearance_dark_mode_headline,settings_option_dark_mode
settings_appearance_dark_mode_off,dark_mode_off
settings_appearance_dark_mode_on,dark_mode_on
settings_appearance_dynamic_colors_description,settings_option_dynamic_colors_summary
settings_appearance_dynamic_colors_headline,settings_option_dynamic_colors
settings_appearance_entry_description,settings_category_appearance_description
settings_appearance_entry_headline,settings_category_appearance
settings_general_block_screen_capture_description,settings_option_block_screen_capture_description
settings_general_block_screen_capture_headline,settings_option_block_screen_capture
settings_general_clipboard_category,settings_category_clipboard
settings_general_copy_values_with_labels_description,settings_option_copy_values_with_labels_summary
settings_general_copy_values_with_labels_headline,settings_option_copy_values_with_labels
settings_general_entry_description,settings_category_general_description
settings_general_entry_headline,settings_category_general
settings_general_hide_3rd_party_overlays_description,settings_option_hide_3rd_party_overlays_description
settings_general_hide_3rd_party_overlays_headline,settings_option_hide_3rd_party_overlays
settings_general_long_press_to_copy_description,settings_option_long_press_to_copy_summary
settings_general_long_press_to_copy_headline,settings_option_long_press_to_copy
settings_general_security_category,settings_category_security
settings_general_temperature_headline,temperature
settings_general_units_category,units
settings_page,settings
system_active_slot_headline,active_slot
system_android_version_headline,android_version
system_baseband_version_headline,baseband_version
system_board_headline,board
system_bootloader_version_headline,bootloader
system_build_fingerprint_headline,fingerprint
system_build_number_headline,build_number
system_build_tags_headline,tags
system_build_type_headline,build_type
system_extra_category,extra
system_hardware_headline,hardware
system_hardware_headline,hardware_tab
system_kernel_version_headline,kernel_version
system_language_headline,language
system_mainline_version_headline,mainline_module_version
system_min_target_sdk_headline,minimum_target_sdk
system_os_category,os
system_page,system_tab
system_performance_class_headline,performance_class_title
system_performance_class_none,no_performance_class
system_performance_class_supported,performance_class
system_released_with_headline,release_with
system_root_headline,root
system_root_version_headline,root_version
system_seamless_updates_headline,seamless_updates
system_security_patch_headline,security_patch
system_selinux_headline,selinux
system_treble_headline,treble
system_up_time_headline,up_time
system_usb_debugging_headline,usb_debugging
legacy_deny,deny
legacy_new_version_available,new_version_available
legacy_new_version_dialog_message,new_version_dialog_message
legacy_update,update
legacy_later,later
legacy_shake_to_report_category,shake_to_report_category
legacy_shake_to_send_feedback,shake_to_send_feedback
legacy_shake_to_send_feedback_summary,shake_to_send_feedback_summary
legacy_sensitivity,sensitivity
legacy_notifications_category_description,notifications_category_description
legacy_experimental_category_description,experimental_category_description
legacy_shake_to_report_category_description,shake_to_report_category_description
legacy_identifiers,indentifiers
legacy_stopped,stopped
legacy_augmented_reality,augmented_reality
legacy_permission_dialog_learn_more,permission_dialog_learn_more
legacy_memory_storage_permission_explanation,memory_storage_permission_explanation
legacy_analytics_dialog_title,analytics_dialog_title
legacy_analytics_dialog_message,analytics_dialog_message
